GeneID	CTR02A	CTR02B	CTR02C	CTR02D	CTR02E	CTR02F	CTR19A	CTR19B	CTR19C	CTR19D	CTR19F	CTR19H	HD17A	HD17B	HD17C	HD17E	HD17F	HD18A	HD18B	HD18C	HD18D	HD18F	HD20A	HD20C	HD20D	HD20E	HD20F	HD20G
TP73-AS1	3222	3604	2826	3375	3526	2960	984	805	766	1336	2047	1295	1340	1486	1477	1977	1664	1723	1371	1457	1615	1914	1096	984	884	1343	1862	2604
CCDC27	7	15	3	8	12	7	0	1	3	5	7	4	2	8	8	6	11	5	4	3	7	10	4	4	3	7	11	5
SMIM1	7	26	11	9	8	13	2	2	4	5	5	12	3	6	5	0	5	4	4	0	10	7	4	7	1	3	10	0
LRRC47	4466	4460	3954	4750	4153	3436	907	633	702	1075	1651	1765	1454	1878	1481	2606	1727	2023	1785	1906	2036	1809	884	699	640	929	2394	1963
CEP104	1432	1633	1206	1575	1350	1038	689	573	561	925	1524	776	745	864	832	929	837	1118	745	926	1157	1168	871	649	525	895	1348	1940
DFFB	635	595	521	639	556	476	181	196	178	224	446	217	179	255	195	321	274	260	182	223	279	230	203	223	196	214	362	609
LOC107984910	8	5	2	14	9	4	9	8	5	6	14	0	13	4	4	22	12	13	6	3	6	1	3	5	8	5	2	6
C1orf174	1012	996	807	959	952	927	396	394	395	466	815	612	495	679	475	845	630	550	687	613	716	619	319	325	354	404	807	1151
LINC01134	2	1	0	0	5	1	0	0	1	0	1	1	2	4	1	1	2	1	3	2	2	0	0	0	0	3	0	3
LINC01346	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376672	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC284661	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
LOC105376674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LOC105376679	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	1	0	0	0
LOC107985376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJAP1	149	242	156	170	152	114	13	13	10	14	207	42	66	20	185	37	45	34	43	31	17	59	8	14	0	2	14	3
LOC105376680	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102724429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984911	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
LOC105376686	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4689	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPHP4	767	1044	547	750	863	694	302	341	307	474	569	266	301	345	362	480	358	438	352	453	398	423	379	444	424	485	573	922
KCNAB2	892	1015	1033	1182	826	646	248	136	192	442	658	516	282	300	371	672	372	476	483	474	336	369	274	255	259	224	643	602
CHD5	58	149	168	123	58	37	84	153	41	142	236	54	18	32	29	317	72	246	135	308	47	163	56	91	73	42	89	203
LOC105376687	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
RPL22	22961	22347	25234	24582	19178	16195	4756	2211	2898	4137	7503	16671	9397	10191	10529	18884	13546	11829	17736	13685	12706	13077	2856	2604	2333	3495	15069	9174
LOC107985733	13	12	15	13	9	10	1	4	0	6	8	8	4	6	0	5	0	7	4	7	13	8	1	1	7	0	2	11
LOC102724450	3	3	3	3	2	1	0	3	4	2	5	0	0	1	0	1	0	1	0	0	7	1	1	0	1	0	3	4
RNF207	28	22	21	21	39	16	19	41	41	51	68	12	16	10	9	17	17	23	39	18	19	17	31	35	49	38	16	170
ICMT	6512	5261	3499	4713	5549	6555	823	777	994	1381	1803	2637	4373	4505	2965	3036	3053	3237	2685	2774	4947	3595	1043	796	542	1179	3568	1670
LINC00337	0	2	0	1	2	2	0	0	0	4	2	0	0	1	0	2	0	6	5	1	1	1	1	2	1	0	1	1
HES3	0	1	0	8	6	1	1	0	2	1	0	1	0	0	1	4	0	0	0	1	0	1	0	3	0	0	1	0
GPR153	1927	4382	4520	3762	2821	2729	529	325	311	1011	1152	1357	797	771	1233	2587	1379	2177	1383	1995	1146	1387	732	611	677	766	2483	1511
ACOT7	4662	3335	3449	3972	3462	3859	654	592	620	1080	1312	1649	1666	1860	1403	2968	1672	2102	1799	2133	2069	1617	773	671	424	726	2644	1123
HES2	21	45	13	11	52	65	7	5	2	3	3	6	64	9	38	1	11	2	1	12	34	12	14	9	11	31	10	19
ESPN	65	121	114	175	135	215	28	26	48	29	60	57	113	16	53	64	28	9	24	31	61	48	46	59	23	67	56	60
MIR4252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF25	39	161	64	66	120	48	221	566	341	338	505	31	18	22	61	49	37	51	134	84	48	36	333	683	523	476	66	1069
PLEKHG5	762	1728	677	727	1310	1064	672	856	804	1181	1644	385	540	664	572	534	510	542	509	578	539	559	1245	1603	1129	1472	829	2731
NOL9	977	1162	689	857	1094	732	486	552	483	558	1564	601	767	664	616	558	772	1167	1224	1035	985	1069	546	539	531	647	1019	2139
